club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Rayo Vallecano,Pelayo Fernández,pelayo fernandez,22,Defensa central,
Rayo Vallecano,Andrei Rațiu,andrei ratiu,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/527966-1765462531.jpg
Rayo Vallecano,Iván Balliu,ivan balliu,20,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/85295-1688119678.jpg
Rayo Vallecano,Pedro Díaz,pedro diaz,4,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/363057-1664207844.jpg
Rayo Vallecano,Unai López,unai lopez,17,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/192009-1726662500.jpg
Rayo Vallecano,Óscar Valentín,oscar valentin,23,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/517753-1765909833.jpg
Rayo Vallecano,Pathé Ciss,pathe ciss,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/525578-1775761248.jpg
Rayo Vallecano,Randy Nteka,randy nteka,11,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/560483-1600680162.jpg
Rayo Vallecano,Giorgi Tsitaishvili,giorgi tsitaishvili,14,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/419067-1742510704.jpg
Rayo Vallecano,Álvaro García,alvaro garcia,18,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/257062-1762775114.jpg
Rayo Vallecano,Jorge de Frutos,jorge de frutos,19,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/455181-1756820871.jpg
Rayo Vallecano,Fran Pérez,fran perez,21,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/622988-1683212780.jpg
Rayo Vallecano,Isi Palazón,isi palazon,7,Mediapunta,https://img.a.transfermarkt.technology/portrait/medium/362086-1726662958.jpg
Rayo Vallecano,Alemão,alemao,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/560417-1775761327.jpg
Rayo Vallecano,Sergio Camello,sergio camello,10,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/505674-1775761676.jpg
Rayo Vallecano,Raúl de Tomás,raul de tomas,-,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/162038-1761864724.jpg
Rayo Vallecano,Etienne Eto'o,etienne eto o,-,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/707359-1732552521.jpg
